131.0.52.0/22,CL,CL-RM,Santiago de Chile,8600360
190.216.0.0/19,AR,AR-B,Buenos Aires,C1427APA
190.216.32.0/19,AR,AR-B,Buenos Aires,C1427APA
190.216.64.0/19,AR,AR-B,Buenos Aires,C1427APA
190.216.96.0/20,EC,EC-P,Quito,EC170135
190.216.112.0/20,PE,PE-LIM,Lima,15023
190.216.128.0/20,CO,CO-DC,Bogota,111156
190.216.144.0/21,CL,CL-RM,Santiago de Chile,8600360
190.216.152.0/21,CO,CO-DC,Bogota,111156
190.216.160.0/20,PE,PE-LIM,Lima,15023
190.216.176.0/20,PE,PE-LIM,Lima,15023
190.216.192.0/20,CO,CO-DC,Bogota,111156
190.216.208.0/20,EC,EC-P,Quito,EC170135
190.216.224.0/20,VE,VE-A,Caracas,1073
190.216.240.0/20,VE,VE-A,Caracas,1073
190.217.0.0/21,VE,VE-A,Caracas,1073
190.217.8/22,VE,VE-A,Caracas,1073
190.217.12/22,VE,VE-A,Caracas,1073
190.217.16/22,CO,CO-DC,Bogota,111156
190.217.20/22,CO,CO-DC,Bogota,111156
190.217.24/21,CO,CO-DC,Bogota,111156
190.217.32.0/22,CL,CL-RM,Santiago de Chile,8600360
190.217.36.0/22,CL,CL-RM,Santiago de Chile,8600360
190.217.40/22,CL,CL-RM,Santiago de Chile,8600360
190.217.48.0/21,CO,CO-DC,Bogota,111156
190.217.56.0/21,CO,CO-DC,Bogota,111156
190.217.64/21,CO,CO-DC,Bogota,111156
190.217.80/22,CO,CO-DC,Bogota,111156
190.217.96.0/22,CO,CO-DC,Bogota,111156
190.217.100.0/22,CO,CO-DC,Bogota,111156
190.217.104.0/22,CO,CO-DC,Bogota,111156
190.217.108.0/22,CO,CO-DC,Bogota,111156
190.217.112.0/22,CO,CO-DC,Bogota,111156
190.217.116.0/22,CO,CO-DC,Bogota,111156
190.217.120/24,PA,PA-8,Panama City,
190.217.121/24,CR,CR-SJ,San Jose,10203
190.217.122/24,TT,TT-POS,Puerto Espana,
190.217.123/24,CR,CR-SJ,San Jose,10203
190.217.124/24,PA,PA-8,Panama City,
190.217.125.0/24,CR,CR-SJ,San Jose,10203
190.217.126.0/24,CR,CR-SJ,San Jose,10203
190.217.127.0/24,PA,PA-8,Panama City,
200.0.194.0/23,AR,AR-B,Buenos Aires,C1427APA
200.0.196.0/23,AR,AR-B,Buenos Aires,C1427APA
